,NO,NO2,SO2
2082.0cm-1,-1.3484981170097512e+20,5.576425433504595e+20,-4.227927316494645e+20
2083.0cm-1,3.019695403091709e+19,3.644217981886005e+20,-3.946187522195261e+20
2084.0cm-1,-3.4529702719665915e+18,1.2832008885134629e+19,-9.379038613167903e+18
2085.0cm-1,-9.334013601557248e+18,1.3675746887671122e+19,-4.3417332861138493e+18
2086.0cm-1,-1.817789104106855e+21,2.9272560419119107e+21,-1.109466937805052e+21
2087.0cm-1,-3.074265976214947e+17,5.302811445165041e+18,-4.995384847543674e+18
2088.0cm-1,5.030248748814564e+21,8.956878571597444e+21,-1.3987127320411757e+22
2089.0cm-1,-8.317548700650278e+19,4.281617859110308e+20,-3.449862989045189e+20
2090.0cm-1,-1.0107634381096518e+21,2.0658206019975177e+21,-1.055057163887803e+21
2091.0cm-1,-3.257584850070318e+20,6.284846808381919e+20,-3.0272619583113554e+20
2092.0cm-1,2.4067589241030595e+19,3.9272160993049674e+20,-4.167891991715177e+20
2093.0cm-1,-2.8913434225178912e+20,6.672298282060644e+20,-3.780954859542695e+20
2094.0cm-1,-2.897845158256289e+21,3.935753698685657e+21,-1.037908540429374e+21
2095.0cm-1,-7.879249583500367e+20,2.0645660001344474e+21,-1.2766410417844016e+21
2096.0cm-1,-1.4545601871522268e+21,3.9739526526164397e+21,-2.519392465464289e+21
2097.0cm-1,8.48512534686747e+19,1.3057405172853412e+21,-1.3905917707539967e+21
2098.0cm-1,5.31379617583462e+20,8.425577022673652e+20,-1.3739373198508145e+21
2099.0cm-1,8.388816681158722e+19,1.7151752454343518e+20,-2.5540569135502128e+20
2100.0cm-1,-2.822715200354161e+18,2.331184091907472e+20,-2.3029569399039417e+20
2101.0cm-1,-1.8493742026846464e+20,5.7485528709465866e+20,-3.899178668261885e+20
2102.0cm-1,7.641953894509752e+19,9.382370176840158e+19,-1.7024324071350033e+20
2103.0cm-1,5.702247198489884e+19,7.80685534554554e+19,-1.3509102544035348e+20
2104.0cm-1,2.013382137441719e+19,4.270084889259998e+19,-6.283467026701783e+19
2105.0cm-1,-6.793043832259869e+18,5.5248997166660346e+19,-4.845595333440025e+19
2106.0cm-1,-1.3637985450661614e+19,4.6921476491720475e+19,-3.3283491041059475e+19
2107.0cm-1,2.6883588732197724e+18,5.752314226684438e+19,-6.021150114006436e+19
2108.0cm-1,-2.0869454896415932e+19,5.103518588695104e+19,-3.0165730990535307e+19
2109.0cm-1,6.856781967748725e+19,7.912596183904772e+19,-1.4769378151653314e+20
2110.0cm-1,2.111901716635117e+20,2.5137045577132546e+20,-4.6256062743485075e+20
2111.0cm-1,2.108878379920103e+19,3.488233773860031e+19,-5.597112153780098e+19
2112.0cm-1,-1.8004047094135341e+19,3.88108078368105e+20,-3.70104031273974e+20
2113.0cm-1,1.869150173342325e+19,5.5802200906797705e+20,-5.7671351080139515e+20
2114.0cm-1,6.174066345161372e+19,4.4637161333157444e+21,-4.5254567967673454e+21
2115.0cm-1,2.0186733633778752e+20,5.712931548087553e+20,-7.731604911465455e+20
2116.0cm-1,-1.5777757813433244e+20,5.352169922715922e+20,-3.7743941413725916e+20
2117.0cm-1,-1.5980569411988478e+21,1.96455450640548e+21,-3.664975652066036e+20
2118.0cm-1,-2.771227299336044e+18,2.8972961911747576e+19,-2.620173461241161e+19
2119.0cm-1,5.524453709805699e+19,5.977771090230536e+20,-6.530216461211096e+20
2120.0cm-1,-1.795012598128271e+17,2.9818792391607767e+19,-2.9639291131795116e+19
2121.0cm-1,1.3124433272283634e+19,3.5985188734223163e+19,-4.9109622006507725e+19
2122.0cm-1,6.555253495712062e+18,6.789717911253642e+19,-7.445243260824796e+19
2123.0cm-1,-3.129825179893857e+19,1.093233529414505e+20,-7.802510114251203e+19
2124.0cm-1,4.618512764532433e+18,4.295740466065528e+19,-4.7575917425187545e+19
2125.0cm-1,-1.1278519080577439e+21,1.0382878711227097e+21,8.956403693505217e+19
2126.0cm-1,-6.672182946941281e+20,1.2339166396453206e+21,-5.6669834495120035e+20
2127.0cm-1,-2.359566648323869e+18,1.531823967637412e+20,-1.5082283011541733e+20
2128.0cm-1,-2.3697110885452884e+20,1.1973406815413142e+21,-9.6036957268677e+20
2129.0cm-1,-3.182576357507341e+19,5.052494816710181e+19,-1.8699184592027865e+19
2130.0cm-1,2.456471146754922e+18,4.437794503362059e+19,-4.6834416180376216e+19
2131.0cm-1,-1.3393924393342337e+19,1.9823209711811274e+20,-1.848381727247679e+20
2132.0cm-1,4.477177169698929e+18,3.038387726639454e+20,-3.083159498336417e+20
2133.0cm-1,1.0258406116014772e+19,3.87572236324083e+19,-4.9015629748423795e+19
2134.0cm-1,-2.3749171510855776e+21,4.2560819719103484e+21,-1.8811648208247372e+21
2135.0cm-1,8.89720703245192e+20,2.1117419301668203e+21,-3.001462633412011e+21
2136.0cm-1,-6.72468826762788e+21,8.30416500009841e+21,-1.5794767324707852e+21
2137.0cm-1,-7.23943817626394e+21,6.288805647268614e+21,9.506325289952109e+20
2138.0cm-1,3.4931027600950034e+20,5.8023833148982795e+20,-9.295486074993242e+20
2139.0cm-1,-8.054248318230962e+19,2.0912369955786372e+20,-1.2858121637555877e+20
2140.0cm-1,1.9180413018046592e+20,3.8906463112436495e+20,-5.808687613048195e+20
2141.0cm-1,-1.0358033470484414e+20,1.5195948076093607e+20,-4.837914605608867e+19
2142.0cm-1,-4.38130800573298e+19,4.662714923555049e+20,-4.224584122981801e+20
2143.0cm-1,-1.5050192470016108e+20,5.8995918966705055e+20,-4.394572649668894e+20
2144.0cm-1,-6.400908591315569e+18,8.380652467768697e+19,-7.740561608637206e+19
2145.0cm-1,-3.949679308260426e+20,1.1680583586663738e+21,-7.730904278403326e+20
2146.0cm-1,-2.100891149319352e+20,2.1616999167737738e+20,-6.080876745442873e+18
2147.0cm-1,5.6998969383701135e+19,2.685278522058376e+20,-3.255268215895369e+20
2148.0cm-1,-6.005098644947719e+19,1.1899655581385053e+20,-5.894556936437587e+19
2149.0cm-1,-3.838533445390203e+20,6.664761201291926e+20,-2.8262277559017744e+20
2150.0cm-1,-8.760362488658308e+19,1.2839779251686991e+20,-4.079416763028823e+19
2151.0cm-1,-3.2205275022193463e+19,5.597830413088602e+19,-2.3773029108692218e+19
2152.0cm-1,-2.5146297104241754e+20,8.046461337180054e+20,-5.531831626755727e+20
2153.0cm-1,-5.928787547904303e+21,5.894558883038212e+21,3.4228664866325017e+19
2154.0cm-1,1.2810304123185283e+19,4.275953705277791e+19,-5.556984117596312e+19
2155.0cm-1,-2.2044565764203977e+20,8.491773071344102e+20,-6.287316494923912e+20
2156.0cm-1,1.2097483119589112e+20,3.422186563814235e+20,-4.6319348757730984e+20
2157.0cm-1,6.59541230168388e+18,5.084485038829018e+19,-5.7440262689974534e+19
2158.0cm-1,1.1069521078891676e+20,3.247180693128155e+21,-3.3578759039170034e+21
2159.0cm-1,-4.3907308718545384e+20,4.0746378090461397e+21,-3.635564721860664e+21
2160.0cm-1,1.2935443970721165e+19,6.0789131869837165e+19,-7.372457584055787e+19
2161.0cm-1,-1.61781451399278e+21,2.077613426694507e+21,-4.597989127017474e+20
2162.0cm-1,-6.577103858160816e+19,7.944039069792197e+19,-1.3669352116314456e+19
2163.0cm-1,-1.6237946129955406e+21,1.9088096201400365e+21,-2.8501500714445265e+20
2164.0cm-1,1.4144452063175848e+19,6.2297563921873306e+19,-7.644201598504996e+19
2165.0cm-1,4.644220962293117e+19,1.5834388945233265e+20,-2.047860990752592e+20
2166.0cm-1,-8.320985641963742e+18,6.526012234761339e+19,-5.6939136705648665e+19
2167.0cm-1,5.4944111335374055e+20,1.552845899933446e+21,-2.1022870132871594e+21
2168.0cm-1,-2.2210201828717183e+19,7.761907759423462e+19,-5.540887576551692e+19
2169.0cm-1,8.733885388965493e+19,1.0560130933547024e+21,-1.1433519472443783e+21
2170.0cm-1,-3.041876609970489e+21,3.9569713366743143e+21,-9.150947267038853e+20
2171.0cm-1,-4.429651858448277e+21,4.654460688406039e+21,-2.248088299578759e+20
2172.0cm-1,-9.863213921063936e+21,1.903369124739943e+22,-9.170477326335664e+21
2173.0cm-1,-1.2114367173816943e+19,7.065701549482207e+20,-6.944557877744034e+20
2174.0cm-1,-9.284587678217111e+19,1.1558343538820224e+20,-2.2737558606030254e+19
2175.0cm-1,-2.1779212998597e+20,2.072944940095511e+21,-1.855152810109511e+21
2176.0cm-1,-1.91874382438291e+21,7.914870789984505e+21,-5.996126965601544e+21
2177.0cm-1,1.3590707402889908e+19,3.2767080951448994e+20,-3.412615169173745e+20
2178.0cm-1,5.655967858269669e+20,8.640281241803993e+20,-1.4296249100073938e+21
2179.0cm-1,-1.500598089869746e+20,4.985691121460046e+20,-3.485093031590404e+20
2180.0cm-1,-3.649134583289454e+20,1.717820631332068e+21,-1.352907173003108e+21
2181.0cm-1,8.036779120205347e+20,2.662707078908054e+21,-3.466384990928587e+21
2182.0cm-1,1.320703215147499e+19,1.1233869379873504e+20,-1.2554572595020775e+20
2183.0cm-1,-5.161296370368253e+21,1.0178379058926093e+22,-5.017082688558037e+21
2184.0cm-1,-3.626232040276477e+19,7.577605503234464e+19,-3.951373462957889e+19
2185.0cm-1,-9.930385849142926e+19,2.8914977952568605e+21,-2.7921939367654683e+21
2186.0cm-1,-2.820796630663677e+19,1.1891813422129301e+20,-9.071016791465789e+19
2187.0cm-1,-4.658572978325392e+21,7.085509835551399e+21,-2.426936857225818e+21
2188.0cm-1,-1.5477921129992028e+20,2.4196386880970483e+20,-8.71846575097856e+19
2189.0cm-1,-2.959051620396104e+19,9.924443827738449e+19,-6.965392207342471e+19
2190.0cm-1,-2.1696516628169722e+22,1.0482628834369491e+22,1.1213887793800132e+22
2191.0cm-1,-3.318370055612848e+19,3.1246444574724555e+20,-2.792807451911121e+20
2192.0cm-1,-4.902285844101258e+20,1.947160973928212e+21,-1.4569323895180438e+21
2193.0cm-1,-4.554465600535689e+22,6.146547251829076e+21,3.9398108753527415e+22
2194.0cm-1,-2.3758713862822812e+20,3.6041099245787677e+20,-1.2282385382966118e+20
2195.0cm-1,-4.279030458378858e+19,3.8035979437466177e+20,-3.3756948979087684e+20
2196.0cm-1,-3.902513226770319e+20,1.703103486777845e+21,-1.312852164100764e+21
2197.0cm-1,-1.0397107253776443e+20,9.812255436570898e+20,-8.772544711193281e+20
2198.0cm-1,-1.4753508204815043e+19,9.156844697658329e+19,-7.681493877176422e+19
2199.0cm-1,-1.4887717883554945e+20,2.7906359981029006e+20,-1.3018642097474575e+20
2200.0cm-1,2.1834318549165224e+19,1.696089968632514e+20,-1.91443315412417e+20
2201.0cm-1,-7.179058326916746e+21,8.889134603089602e+21,-1.710076276172838e+21
2202.0cm-1,-8.057483828804237e+20,1.777074668320927e+21,-9.713262854405168e+20
2203.0cm-1,-3.815733274516474e+22,1.836632595941286e+22,1.9791006785752057e+22
2204.0cm-1,5.204280705160948e+20,2.7169641653642073e+21,-3.237392235880372e+21
2205.0cm-1,-8.866516402759668e+22,1.2809398035806203e+22,7.585576599179106e+22
2206.0cm-1,-5.232096888317193e+21,4.3841710974814194e+21,8.479257908357965e+20
2207.0cm-1,-8.098381606472235e+21,9.941132860633385e+21,-1.8427512541612354e+21
2208.0cm-1,-3.84680860145733e+20,1.204403266096993e+21,-8.197224059512653e+20
2209.0cm-1,-3.546398799588288e+18,3.294617924307379e+20,-3.25915393631147e+20
2210.0cm-1,-1.492169702205353e+20,1.478113461795236e+20,1.4056240410123773e+18
2211.0cm-1,1.7134718378190172e+19,9.747155288844563e+19,-1.1460627126663907e+20
2212.0cm-1,-4.021452032726953e+20,3.3014063473169237e+21,-2.8992611440442936e+21
2213.0cm-1,-2.635479870422298e+21,4.58492443345369e+21,-1.9494445630312787e+21
2214.0cm-1,-6.673900487791439e+19,1.630887424717711e+20,-9.634973759385433e+19
2215.0cm-1,-3.6949177074691935e+21,4.0114144953172775e+21,-3.164967878477899e+20
2216.0cm-1,8.379465245403399e+20,1.5765224197385717e+21,-2.4144689442789345e+21
2217.0cm-1,-5.212492361472794e+19,3.159649182113443e+20,-2.6383999459662306e+20
2218.0cm-1,-4.275582113975941e+21,5.393348851728572e+21,-1.1177667377524693e+21
2219.0cm-1,-1.1678354879590774e+21,-2.7867983801903638e+20,1.4465153259781124e+21
2220.0cm-1,9.96100833140251e+21,1.0228629844375395e+22,-2.018963817577777e+22
2221.0cm-1,-7.836446078672685e+21,1.2097569025125098e+22,-4.261122946452555e+21
2222.0cm-1,-9.139443937724259e+21,1.8084816455389378e+22,-8.945372517665253e+21
2223.0cm-1,-1.3129053701455184e+20,6.471397000929284e+20,-5.158491630783703e+20
2224.0cm-1,-2.6050796643011068e+20,1.4529994389054098e+21,-1.1924914724753186e+21
2225.0cm-1,-1.1481267610554794e+20,4.973817440977503e+20,-3.825690679922067e+20
2226.0cm-1,-3.335020408115231e+20,-6.0811463574003294e+19,3.94313504385527e+20
2227.0cm-1,-1.660691519413418e+20,3.656322581644321e+20,-1.9956310622309237e+20
2228.0cm-1,3.6140027820316393e+19,2.1444914139024454e+20,-2.505891692105613e+20
2229.0cm-1,-7.190080398163432e+17,5.0241799769785926e+20,-5.01698989658048e+20
2230.0cm-1,-3.696923499710009e+18,2.0740976573852e+20,-2.037128422388126e+20
2231.0cm-1,-2.2166147643116844e+20,5.794011328505835e+20,-3.5773965641941176e+20
2232.0cm-1,-1.64526391591447e+20,1.2081680056458485e+21,-1.043641614054405e+21
2233.0cm-1,9.631374520557484e+19,2.1309553052128274e+20,-3.094092757268557e+20
2234.0cm-1,-3.0152213291897205e+22,1.7568716473616185e+22,1.2583496818281123e+22
2235.0cm-1,-5.0293075340396175e+19,3.487621376997352e+20,-2.984690623593367e+20
2236.0cm-1,-3.427281180171e+21,1.8207814624188485e+21,1.6064997177520638e+21
2237.0cm-1,-1.95250858650003e+21,2.231695742472413e+21,-2.791871559722973e+20
2238.0cm-1,3.3448736774622716e+19,2.9206314898902424e+20,-3.255118857636433e+20
2239.0cm-1,-3.084046467024662e+21,4.127084047577064e+21,-1.0430375805524012e+21
2240.0cm-1,-5.27770709557576e+19,2.9460344782121733e+20,-2.418263768654586e+20
2241.0cm-1,-2.810516949888322e+20,4.232050165254387e+20,-1.4215332153660812e+20
2242.0cm-1,-2.2252404465932724e+21,-5.09839065715162e+20,2.735079512308431e+21
2243.0cm-1,-1.071562341739261e+20,4.12457009059972e+20,-3.053007748860396e+20
2244.0cm-1,-2.6894044312756925e+20,5.864197084364276e+20,-3.174792653088525e+20
2245.0cm-1,-3.1300598956291097e+20,4.1928222079143064e+20,-1.0627623122852492e+20
2246.0cm-1,-6.33754208266651e+20,6.529895342349205e+20,-1.923532596825055e+19
2247.0cm-1,-2.0109705026667673e+21,8.807192220337703e+20,1.1302512806329741e+21
2248.0cm-1,-2.48911433504429e+20,-6.494674845751616e+19,3.1385818196194623e+20
2249.0cm-1,-8.51656939249316e+20,5.281100900340762e+20,3.2354684921523497e+20
2250.0cm-1,1.1453729831929628e+20,9.761848768312978e+20,-1.0907221751505988e+21
2251.0cm-1,-3.741526626143618e+20,4.196881938098793e+20,-4.553553119551818e+19
2252.0cm-1,-1.8331521229057842e+21,3.810133595613705e+20,1.4521387633444384e+21
2253.0cm-1,-6.122769730252935e+22,-4.026856784935367e+21,6.525455408746513e+22
2254.0cm-1,-1.537821340410011e+21,-3.790234452763364e+20,1.916844785686346e+21
2255.0cm-1,-7.41179484050503e+21,-1.1593143702929185e+21,8.571109210797987e+21
2256.0cm-1,-3.288739897435587e+21,-7.061711050521699e+20,3.9949110024877444e+21
2257.0cm-1,-3.668491110904767e+20,8.459526113897504e+20,-4.791035002992575e+20
2258.0cm-1,-1.4005941192683516e+21,1.7889165321013108e+21,-3.883224128330255e+20
2259.0cm-1,-9.026873128687065e+21,-3.310594008292549e+19,9.05997906877011e+21
2260.0cm-1,-1.1151804662818367e+21,-2.245074868555623e+20,1.3396879531374053e+21
2261.0cm-1,-1.4085924533520181e+20,-2.8977541727579234e+19,1.6983678706278066e+20
2262.0cm-1,-6.524612276493593e+20,-6.6795987522434744e+19,7.192572151717926e+20
2263.0cm-1,-3.060490562703125e+20,6.130069207984345e+20,-3.069578645281031e+20
2264.0cm-1,-3.0288324961279492e+19,7.509897239426567e+20,-7.207013989813524e+20
2265.0cm-1,-1.5781865572812207e+20,-3.24295242901809e+19,1.902481800183039e+20
2266.0cm-1,-3.943589529997191e+19,-1.4169623821714127e+19,5.360551912168591e+19
2267.0cm-1,-1.3285708306371185e+21,-1.889852453610608e+20,1.5175560759981805e+21
2268.0cm-1,-8.192374792468857e+19,-1.3255639324588659e+19,9.517938724927727e+19
2269.0cm-1,3.2849313572456084e+20,1.5848776205303113e+21,-1.9133707562548504e+21
2270.0cm-1,-7.184939077409702e+19,8.122239841863574e+20,-7.403745934122593e+20
2271.0cm-1,-1.7952974843224447e+21,3.253233009683895e+21,-1.4579355253614872e+21
2272.0cm-1,-5.0711221387911686e+20,1.0044518761998203e+21,-4.973396623206926e+20
2273.0cm-1,-4.6450463949362135e+20,-1.034815150346837e+20,5.6798615452830754e+20
2274.0cm-1,-6.52540792705689e+21,-1.6747956949476723e+21,8.200203622004567e+21
2275.0cm-1,-3.566433565720168e+20,-6.2667301592983945e+19,4.193106581650015e+20
2276.0cm-1,-1.8551473646150277e+21,-4.5113325347604306e+20,2.3062806180910793e+21
2277.0cm-1,-1.6940863522931846e+22,1.814898922172354e+21,1.512596460075954e+22
2278.0cm-1,-1.8436119093645578e+22,-1.1504914289325147e+21,1.9586610522578095e+22
2279.0cm-1,-1.5942547037678052e+22,7.320138589151525e+21,8.622408448526373e+21
2280.0cm-1,-5.9133505623609385e+19,-1.7464110092432386e+19,7.659761571604154e+19
2281.0cm-1,-1.0809679638575742e+21,1.2685458141442623e+21,-1.8757785028666976e+20
2282.0cm-1,-2.247321686009864e+20,8.984558275337804e+20,-6.737236589328071e+20
2283.0cm-1,-4.28796352319986e+21,1.5402493576838313e+21,2.7477141655160336e+21
2284.0cm-1,-3.203494289068e+21,-4.081923728636295e+20,3.6116866619316193e+21
2285.0cm-1,-1.6062165051092828e+21,2.5411493972727914e+21,-9.349328921633009e+20
2286.0cm-1,-3.776804323290171e+21,2.4806539382111716e+21,1.2961503850789895e+21
2287.0cm-1,-1.2766369002476478e+21,-1.9365866771184252e+20,1.4702955679594984e+21
2288.0cm-1,-3.4383202134132346e+20,-9.45284714873765e+19,4.383604928286994e+20
2289.0cm-1,-3.423795028361298e+21,5.110431843139762e+21,-1.6866368147783247e+21
2290.0cm-1,-2.6480288347936083e+20,-5.764488766692218e+19,3.224477711462824e+20
2291.0cm-1,-2.643891431423291e+19,-7.00293916879211e+18,3.344185348302509e+19
2292.0cm-1,-3.234918125803995e+20,-1.0089299824426353e+20,4.243848108246625e+20
2293.0cm-1,-6.594902928445018e+20,-1.9574136839651797e+20,8.552316612410193e+20
2294.0cm-1,-1.635991416438681e+21,-2.6349511693129295e+20,1.8994865333699727e+21
2295.0cm-1,-2.381193908871051e+21,4.317462224509654e+21,-1.9362683156385358e+21
2296.0cm-1,-1.2525866902579328e+21,-2.883950136095274e+20,1.5409817038674568e+21
2297.0cm-1,-8.028161958912765e+20,-1.8573551716760047e+20,9.885517130588828e+20
2298.0cm-1,-4.2189198512208473e+21,-2.552637946719135e+20,4.4741836458927635e+21
2299.0cm-1,-1.5691578597148056e+20,-1.852232251198484e+19,1.7543810848346633e+20
2300.0cm-1,-7.337247958092806e+21,-3.2912511832353247e+19,7.370160469925195e+21
2301.0cm-1,-1.5889692733064757e+20,-2.973845372480891e+19,1.88635381055456e+20
2302.0cm-1,-6.464518318224347e+20,-5.494882046897885e+19,7.014006522914144e+20
2303.0cm-1,-7.329118646487601e+21,5.1011598819651466e+20,6.819002658291173e+21
2304.0cm-1,-4.268350021519933e+19,-1.0559088266747003e+19,5.324258848194635e+19
2305.0cm-1,-5.77317402452236e+21,9.35908069018364e+20,4.837265955503849e+21
2306.0cm-1,-6.031863589975823e+20,-1.565319842196684e+20,7.597183432172491e+20
2307.0cm-1,-5.215275020010653e+19,-7.090915679847164e+18,5.924366587995372e+19
2308.0cm-1,2.4069450613468696e+20,1.436063524976076e+21,-1.676758031110681e+21
2309.0cm-1,-3.1947644755158355e+20,3.244265133598477e+20,-4.95006580827443e+18
2310.0cm-1,-1.1412240487235169e+21,-3.6776644332538556e+19,1.1780006930560614e+21
2311.0cm-1,-1.2609533888861959e+20,-4.273781356027742e+19,1.6883315244889706e+20
2312.0cm-1,-1.3675529252666517e+20,-3.1794899022268408e+19,1.6855019154893396e+20
2313.0cm-1,-2.2187600283744063e+21,1.382369784303726e+21,8.363902440706925e+20
2314.0cm-1,-3.414459346406275e+21,1.0758865501162825e+21,2.3385727962899696e+21
2315.0cm-1,-1.6117444615450427e+20,-2.653772463404638e+19,1.8771217078855038e+20
2316.0cm-1,-1.5960636098638198e+20,2.4377715305606332e+20,-8.41707920696752e+19
2317.0cm-1,-4.145183856781105e+21,9.489779665291177e+20,3.196205890251973e+21
2318.0cm-1,-1.9329747488977574e+20,-3.354210783544696e+19,2.2683958272522335e+20
2319.0cm-1,-7.1933855894183305e+19,-6.96081531255664e+18,7.88946712067399e+19
2320.0cm-1,-3.7617920651373694e+20,-9.237776631289738e+19,4.685569728266364e+20
2321.0cm-1,1.5711649998235517e+19,5.983317552306834e+19,-7.554482552130265e+19
2322.0cm-1,-6.478583577944778e+20,-8.433393326766975e+19,7.32192291062146e+20
2323.0cm-1,5.845329557115512e+19,1.3464498940029008e+20,-1.930982849714453e+20
2324.0cm-1,-1.437753559173984e+21,6.094102852204229e+20,8.283432739535516e+20
2325.0cm-1,-2.973447228928817e+19,4.582830103605977e+19,-1.6093828746771479e+19
2326.0cm-1,-4.053819254363272e+21,2.9056107405132735e+21,1.1482085138501429e+21
2327.0cm-1,-7.89486053183683e+19,1.2665410466639752e+20,-4.770549934802656e+19
2328.0cm-1,-1.2041362781812821e+20,-3.243028706387583e+19,1.528439148820036e+20
2329.0cm-1,-4.93375790807378e+19,-1.0718466944425085e+19,6.005604602516267e+19
2330.0cm-1,-9.50674247010979e+20,9.946072783330076e+20,-4.393303132201198e+19
2331.0cm-1,4.5258399770863115e+20,6.042431196033492e+20,-1.0568271173119936e+21
2332.0cm-1,-6.334017494429348e+19,9.938470436604684e+19,-3.604452942175691e+19
2333.0cm-1,-5.167046312401532e+20,-1.405155469395982e+20,6.572201781797493e+20
2334.0cm-1,-3.615240984764792e+21,-9.290175203102032e+20,4.544258505074997e+21
2335.0cm-1,-8.303041299146666e+21,4.006151391537192e+21,4.296889907609168e+21
2336.0cm-1,-2.8997036413965268e+20,-5.993270766450128e+19,3.4990307180415327e+20
2337.0cm-1,-1.0721947764581087e+21,1.2411814227981773e+21,-1.689866463400919e+20
2338.0cm-1,-6.233623609795201e+20,-1.4166097379674602e+20,7.65023334776264e+20
2339.0cm-1,-4.459499168161668e+19,-1.117952858123291e+19,5.5774520262850355e+19
2340.0cm-1,-2.5684548968047175e+20,3.615136044966056e+20,-1.0466811481613029e+20
2341.0cm-1,-1.9586222669853976e+20,-3.2887192191340777e+19,2.287494188898814e+20
2342.0cm-1,-2.7208967859144933e+20,-1.7297958368274719e+19,2.893876369597242e+20
2343.0cm-1,-1.5121552165439206e+20,-3.0881894149746614e+19,1.8209741580413977e+20
2344.0cm-1,-2.8437708189862963e+20,6.80472861166303e+20,-3.9609577926768506e+20
2345.0cm-1,-2.4192179829917463e+20,1.718008364132575e+20,7.012096188589763e+19
2346.0cm-1,-7.788718563710075e+18,3.643858223342229e+19,-2.8649863669711598e+19
2347.0cm-1,-3.8835291608309875e+19,-1.0088806667530291e+19,4.8924098275840336e+19
2348.0cm-1,-2.1821158541976745e+20,3.7192197065978846e+20,-1.537103852400227e+20
2349.0cm-1,-3.8452214581273376e+20,1.2291319569811812e+21,-8.446098111684498e+20
2350.0cm-1,-5.1116643061032034e+19,1.5460344266146077e+20,-1.0348679960043043e+20
2351.0cm-1,-3.031587628079374e+20,1.892116664663942e+20,1.139470963415466e+20
2352.0cm-1,-1.5422988044275332e+20,1.1925001544208092e+20,3.497986500067239e+19
2353.0cm-1,-2.6752865665777224e+21,-2.5372049708157148e+20,2.9290070636593094e+21
2354.0cm-1,-1.6304661116491756e+21,-3.179378085078347e+20,1.9484039201570176e+21
2355.0cm-1,-1.7788490512550897e+20,-4.268560280782604e+19,2.205705079333352e+20
2356.0cm-1,-4.3909171188408074e+19,5.296110286009456e+20,-4.8570185741251995e+20
2357.0cm-1,-2.0596013443471203e+20,-2.00897869335866e+19,2.2604992136829655e+20
2358.0cm-1,-2.698233822840404e+21,4.7185395885586614e+21,-2.0203057657182185e+21
2359.0cm-1,-1.3337879234225551e+21,1.2569227693150794e+21,7.686515410747274e+19
2360.0cm-1,8.107288924429351e+19,1.774763789191594e+20,-2.5854926816345434e+20
2361.0cm-1,-4.374708710375624e+20,6.218496817323307e+20,-1.8437881069475522e+20
2362.0cm-1,-3.0315189824162497e+20,3.399129477291444e+19,2.6916060346871287e+20
2363.0cm-1,-6.355008214333895e+21,4.654131515093518e+21,1.7008766992403559e+21
2364.0cm-1,9.021463435163798e+18,1.8531065683356295e+19,-2.7552529118520357e+19
2365.0cm-1,1.7497934078699795e+20,7.836847888628759e+20,-9.586641296498695e+20
2366.0cm-1,4.183489629065002e+19,1.2055392016160352e+20,-1.6238881645225188e+20
2367.0cm-1,-5.461264896645363e+20,-2.123089053500017e+20,7.584353950145304e+20
2368.0cm-1,1.974081566562174e+19,2.238250499336204e+20,-2.435658655992453e+20
2369.0cm-1,8.598402240476575e+18,4.428944097965996e+19,-5.288784322013632e+19
2370.0cm-1,4.787097255032841e+19,1.972559847929311e+21,-2.0204308204796418e+21
2371.0cm-1,-5.0784005674192804e+20,-1.3300241373552771e+20,6.408424704774554e+20
2372.0cm-1,-3.1383369702002835e+19,4.237353346020028e+19,-1.0990163758197322e+19
2373.0cm-1,-3.073717322230725e+21,4.178760317646463e+20,2.655841290466039e+21
2374.0cm-1,-6.1542570749882425e+19,1.0865915474541666e+20,-4.711658399553372e+19
2375.0cm-1,-3.426966859938841e+17,9.265470610041972e+19,-9.231200941442636e+19
2376.0cm-1,-2.1068738288079268e+18,4.461530355134066e+19,-4.250842972253391e+19
2377.0cm-1,9.151102451543683e+18,4.4332810253493625e+19,-5.348391270503813e+19
2378.0cm-1,-1.1803669831459935e+21,1.1411162816072998e+21,3.925070153869106e+19
2379.0cm-1,-2.455667136904319e+20,1.1483184963888698e+20,1.3073486405154193e+20
2380.0cm-1,-6.012621812617552e+20,1.1624653287167575e+21,-5.612031474550022e+20
2381.0cm-1,-1.9022201416376343e+20,2.4549613030756906e+20,-5.527411614381123e+19
2382.0cm-1,-1.1040118441166584e+21,2.014833647060399e+21,-9.108218029437016e+20
2383.0cm-1,-6.388675479633076e+19,2.705006488944887e+20,-2.0661389409816166e+20
2384.0cm-1,-3.753322463963291e+19,2.0073638079132815e+20,-1.6320315615169505e+20
2385.0cm-1,-2.0952582092378335e+20,2.6929886786089006e+20,-5.977304693710632e+19
2386.0cm-1,-7.895599168974184e+19,3.1942710349177854e+20,-2.404711118020303e+20
2387.0cm-1,1.8453193007269813e+20,3.578455160891288e+20,-5.423774461618418e+20
2388.0cm-1,4.746233053472898e+20,1.9611750097869726e+21,-2.435798315134273e+21
2389.0cm-1,-3.812765473667114e+20,1.0022968659701662e+21,-6.210203186034395e+20
2390.0cm-1,-2.84474481093908e+20,2.0615872622556396e+21,-1.7771127811618172e+21
2391.0cm-1,9.12316187680972e+19,3.2858650331709985e+21,-3.3770966519391233e+21
2392.0cm-1,1.944912804123476e+19,1.2652488601353944e+21,-1.2846979881766717e+21
